title,acronym,ordinal,city,country,startDate,endDate,year,wikiCfpid,dblpid,seriesTitle,url,describedAtUrl
14th edition of The International Conference on Linguistic Resources and Tools for Natural Language Processing,ConsILR-2019,,,Romania,2019-11-18,2019-11-20,2019.0,,,,http://www.wikidata.org/entity/Q65088425,
Neural Information Processing Systems 2004,NIPS 2004,,Vancouver,Canada,2004-12-13,2004-12-18,2004.0,,,Conference on Neural Information Processing Systems,http://www.wikidata.org/entity/Q73025763,
Neural Information Processing Systems 2004,NIPS 2004,,,Canada,2004-12-13,2004-12-18,2004.0,,,Conference on Neural Information Processing Systems,http://www.wikidata.org/entity/Q73025763,
SWIB19,SWIB19,11.0,,Germany,2019-11-25,2019-11-27,2019.0,,,Semantic Web in Libraries Conference,http://www.wikidata.org/entity/Q59264323,
American Astronomical Society 215th meeting,,,,,,,,,,,http://www.wikidata.org/entity/Q4743110,
5th Swiss Text Analytics Conference & 16th Conference on Natural Language Processing,,16.0,,Switzerland,2020-06-23,2020-06-25,2020.0,,,Conference on Natural Language Processing,http://www.wikidata.org/entity/Q70325421,
Thirty-seventh International Conference on Machine Learning,ICML 2020,37.0,,Austria,2020-07-12,2020-07-18,2020.0,,,International Conference on Machine Learning,http://www.wikidata.org/entity/Q75942557,
On Bees and Humans,,,,Germany,,,,,,,http://www.wikidata.org/entity/Q70334179,https://www.saechsische.de/plus/vom-mord-an-einer-koenigin-5126270.html
Twenty-Second Annual Conference on Neural Information Processing Systems,NIPS 2008,22.0,,Canada,2008-12-08,2008-12-13,2008.0,,,Conference on Neural Information Processing Systems,http://www.wikidata.org/entity/Q76721357,
Thirty-fourth International Conference on Machine Learning,ICML 2017,34.0,Sydney,Australia,,,,,,International Conference on Machine Learning,http://www.wikidata.org/entity/Q63982814,
'The Long Black Death': New Perspectives,,,,United Kingdom,2019-07-05,2019-07-06,2019.0,,,Society for Medieval Archaeology Annual Conference,http://www.wikidata.org/entity/Q65055454,
The Conference on Systems and Machine Learning 2019,,,,United States of America,2019-03-31,2019-04-02,2019.0,,conf/mlsys/2019,Conference on Machine Learning and Systems,http://www.wikidata.org/entity/Q62657827,
The Web Conference 2018,,,,France,2018-04-23,2018-04-27,2018.0,63231.0,,The Web Conference,http://www.wikidata.org/entity/Q48910401,
Researcher meets Curator,,,,Kingdom of the Netherlands,,,,,,,http://www.wikidata.org/entity/Q62204896,
The Eighth Joint Conference on Lexical and Computational Semantics,,8.0,,United States of America,2019-06-06,2019-06-07,2019.0,,,Joint Conference on Lexical and Computational Semantics,http://www.wikidata.org/entity/Q61694277,
The Explanation of Culture Change: Models in Prehistory,,,,United Kingdom,1971-12-01,1971-12-01,1971.0,,,,http://www.wikidata.org/entity/Q96057716,
Integrating Generic and Contextual Knowledge,GeCKo,,Barcelona,Spain,,,,,,,http://www.wikidata.org/entity/Q79016193,
A conference on Roman law : the future of obligations,,,Rome,Italy,2008-03-13,2008-03-14,2008.0,,,,http://www.wikidata.org/entity/Q96749264,
A conference on Roman law : the future of obligations,,,,,2008-03-13,2008-03-14,2008.0,,,,http://www.wikidata.org/entity/Q96749264,
The 28th International Conference on Computational Linguistics,COLING'2020,28.0,Barcelona,Spain,2020-09-13,2020-09-18,2020.0,,,International Conference on Computational Linguistics,http://www.wikidata.org/entity/Q72838890,
The 55th annual meeting of the Association for Computational Linguistics,ACL 2017,55.0,Vancouver,Canada,2017-07-30,2017-08-04,2017.0,,,Annual Meeting of the Association for Computational Linguistics,http://www.wikidata.org/entity/Q75011709,
The 58th annual meeting of the Association for Computational Linguistics,ACL 2020,,,United States of America,2020-07-05,2020-07-10,2020.0,93022.0,,Annual Meeting of the Association for Computational Linguistics,http://www.wikidata.org/entity/Q64994981,
10th International Conference on Ecological Informatics,ICEI2018,10.0,,Germany,2018-09-24,2018-09-28,2018.0,,,International Conference on Ecological Informatics,http://www.wikidata.org/entity/Q50706744,
Medical Education Informatics International Conference 2012,MEI2012,,Thessaloniki,Greece,2012-04-06,2012-04-07,2012.0,,,,http://www.wikidata.org/entity/Q71385296,
25th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,KDD '19,25.0,,United States of America,2019-08-04,2019-08-08,2019.0,,,Knowledge Discovery and Data Mining,http://www.wikidata.org/entity/Q66305793,
annual congress of the French Colonial History Society,,,,,,,,,,,http://www.wikidata.org/entity/Q64626737,
Graph Technologies in the Humanities 2020,,,,Austria,2020-02-21,2020-02-22,2020.0,,,Graph Technologies in the Humanities,http://www.wikidata.org/entity/Q88860125,
Graph Technologies in the Humanities 2019,,,,Germany,2019-01-18,2019-01-19,2019.0,,,Graph Technologies in the Humanities,http://www.wikidata.org/entity/Q88864270,
Thirty-first Conference on Neural Information Processing Systems,NIPS 2017,,,United States of America,2017-12-04,2017-12-09,2017.0,56589.0,,Conference on Neural Information Processing Systems,http://www.wikidata.org/entity/Q28052972,
ESWC 2020,ESWC 2020,17.0,Royal,United States of America,2020-05-31,2020-06-04,2020.0,94748.0,conf/esws/2020,Extended Semantic Web Conference,http://www.wikidata.org/entity/Q64419181,
I Seminário Docomomo Norte-Nordeste,,,,Brazil,,,,,,,http://www.wikidata.org/entity/Q96574534,
SEMANTiCS 2020 US,,,Austin,United States of America,2020-04-21,2020-04-23,2020.0,,,SEMANTiCS,http://www.wikidata.org/entity/Q67208532,
Science and nonviolence (conference) - French,,,,,,,,,,,http://www.wikidata.org/entity/Q19231616,
10th International SWAT4HCLS conference,swat4hcls,10.0,Rome,Italy,2017-12-04,2017-12-07,2017.0,,,Semantic Web Applications and Tools for Healthcare and Life Sciences,http://www.wikidata.org/entity/Q56235977,
Thirtieth Annual Conference on Neural Information Processing Systems,NIPS 2016,,,Spain,2016-12-05,2016-12-10,2016.0,49079.0,,Conference on Neural Information Processing Systems,http://www.wikidata.org/entity/Q28053046,
ESWC 2005,ESWC 2005,2.0,Royal,United States of America,2005-05-29,2005-06-01,2005.0,,,Extended Semantic Web Conference,http://www.wikidata.org/entity/Q64020065,
CECC09 conference,,,,Czech Republic,2009-06-23,2009-06-26,2009.0,,,,http://www.wikidata.org/entity/Q12030025,
ESWC 2009,ESWC 2009,6.0,Royal,United States of America,2009-05-31,2009-06-04,2009.0,,conf/esws/2009,Extended Semantic Web Conference,http://www.wikidata.org/entity/Q64020447,
Neuroscience 2017,,,"Washington, D.C.",United States of America,2017-11-11,2017-11-15,2017.0,,,Neuroscience,http://www.wikidata.org/entity/Q66685007,
Apollo 11 Lunar Science Conference,,,Houston,United States of America,1970-01-05,1970-01-08,1970.0,,,,http://www.wikidata.org/entity/Q79507960,
Neuroscience 2019,,,,United States of America,2019-10-19,2019-10-23,2019.0,,,Neuroscience,http://www.wikidata.org/entity/Q66685015,
10th International SWAT4HCLS conference,swat4ls,10.0,Rome,Italy,2017-12-04,2017-12-07,2017.0,,,Semantic Web Applications and Tools for Healthcare and Life Sciences,http://www.wikidata.org/entity/Q56235977,
1st Iberoamerican Knowledge Graphs and Semantic Web Conference,KGSWC 2019,,,Cuba,2019-06-23,2019-06-30,2019.0,,,,http://www.wikidata.org/entity/Q60922709,
Open Science in Action,,,,Canada,,,,,,,http://www.wikidata.org/entity/Q75533882,
Euralex 2020,Euralex 2020,,,Greece,2021-09-07,2021-09-09,2021.0,,,,http://www.wikidata.org/entity/Q75922713,
Thirty-second Annual Conference on Neural Information Processing Systems,NeurIPS 2018,,,Canada,2018-12-03,2018-12-08,2018.0,67106.0,,Conference on Neural Information Processing Systems,http://www.wikidata.org/entity/Q47259608,
IMC 2015,,,,United Kingdom,2015-07-06,2015-07-09,2015.0,,,International Medieval Congress,http://www.wikidata.org/entity/Q63302284,
Africa knows!,,,,,2020-12-02,2021-02-28,2020.0,,,,http://www.wikidata.org/entity/Q99430301,
The 57th Annual Meeting of the Association for Computational Linguistics,ACL 2019,57.0,Florence,Italy,2019-07-28,2019-08-02,2019.0,81290.0,,Annual Meeting of the Association for Computational Linguistics,http://www.wikidata.org/entity/Q61054372,
2019 Conference on Empirical Methods in Natural Language Processing and 9th International Joint Conference on Natural Language Processing,EMNLP 2019,,Hong Kong,People's Republic of China,2019-11-03,2019-11-07,2019.0,,,Empirical Methods in Natural Language Processing,http://www.wikidata.org/entity/Q62250062,https://dblp.org/db/conf/emnlp/emnlp2019-1.html
2019 Conference on Empirical Methods in Natural Language Processing and 9th International Joint Conference on Natural Language Processing,EMNLP-IJCNLP 2019,24.0,Hong Kong,People's Republic of China,2019-11-03,2019-11-07,2019.0,,,Empirical Methods in Natural Language Processing,http://www.wikidata.org/entity/Q62250062,https://dblp.org/db/conf/emnlp/emnlp2019-1.html
2019 Conference on Empirical Methods in Natural Language Processing and 9th International Joint Conference on Natural Language Processing,EMNLP 2019,,Hong Kong,People's Republic of China,2019-11-03,2019-11-09,2019.0,,,Empirical Methods in Natural Language Processing,http://www.wikidata.org/entity/Q62250062,https://dblp.org/db/conf/emnlp/emnlp2019-1.html
2019 Conference on Empirical Methods in Natural Language Processing and 9th International Joint Conference on Natural Language Processing,EMNLP 2019,24.0,Hong Kong,People's Republic of China,2019-11-03,2019-11-07,2019.0,,,Empirical Methods in Natural Language Processing,http://www.wikidata.org/entity/Q62250062,https://dblp.org/db/conf/emnlp/emnlp2019-1.html
Digital Skills for Data Intensive Science,,,,,2019-10-28,2019-10-29,2019.0,,,,http://www.wikidata.org/entity/Q72799678,
2019 Conference on Empirical Methods in Natural Language Processing and 9th International Joint Conference on Natural Language Processing,EMNLP-IJCNLP 2019,24.0,Hong Kong,People's Republic of China,2019-11-03,2019-11-09,2019.0,,,Empirical Methods in Natural Language Processing,http://www.wikidata.org/entity/Q62250062,https://dblp.org/db/conf/emnlp/emnlp2019-1.html
2019 Conference on Empirical Methods in Natural Language Processing and 9th International Joint Conference on Natural Language Processing,EMNLP-IJCNLP 2019,,Hong Kong,People's Republic of China,2019-11-03,2019-11-07,2019.0,,,Empirical Methods in Natural Language Processing,http://www.wikidata.org/entity/Q62250062,https://dblp.org/db/conf/emnlp/emnlp2019-1.html
2019 Conference on Empirical Methods in Natural Language Processing and 9th International Joint Conference on Natural Language Processing,EMNLP 2019,24.0,Hong Kong,People's Republic of China,2019-11-03,2019-11-09,2019.0,,,Empirical Methods in Natural Language Processing,http://www.wikidata.org/entity/Q62250062,https://dblp.org/db/conf/emnlp/emnlp2019-1.html
2019 Conference on Empirical Methods in Natural Language Processing and 9th International Joint Conference on Natural Language Processing,EMNLP-IJCNLP 2019,,Hong Kong,People's Republic of China,2019-11-03,2019-11-09,2019.0,,,Empirical Methods in Natural Language Processing,http://www.wikidata.org/entity/Q62250062,https://dblp.org/db/conf/emnlp/emnlp2019-1.html
Conference on Natural Language Processing 2019,KONVENS 2019,15.0,,Germany,2019-10-09,2019-10-11,2019.0,,,Conference on Natural Language Processing,http://www.wikidata.org/entity/Q63686495,
Persistent Identifiers in biodiversity data life cycle,,,,Estonia,2019-05-14,2019-05-14,2019.0,,,,http://www.wikidata.org/entity/Q63828174,
"Unfinished and Abstracted: Paul Cezanne, Twentieth-Century Painter in Spite of Himself",,,,,,,,,,,http://www.wikidata.org/entity/Q30251023,
32nd Theoretical Archaeology Group Conference,,,,United Kingdom,2010-12-17,2010-12-19,2010.0,,,Theoretical Archaeology Group,http://www.wikidata.org/entity/Q84367775,
41st Theoretical Archaeology Group Conference,,,,United Kingdom,2019-12-16,2019-12-18,2019.0,,,Theoretical Archaeology Group,http://www.wikidata.org/entity/Q79049914,
33rd Theoretical Archaeology Group Conference,,,,United Kingdom,2011-12-14,2011-12-16,2011.0,,,Theoretical Archaeology Group,http://www.wikidata.org/entity/Q84365856,
The Battle of Lewes Conference,,,,United Kingdom,2012-04-14,2012-04-14,2012.0,,,,http://www.wikidata.org/entity/Q94580371,
First International Conference on the World-Wide Web,,1.0,,Switzerland,1994-05-25,1994-05-27,1994.0,,,The Web Conference,http://www.wikidata.org/entity/Q5453100,
21st International Conference on Artificial Intelligence and Statistics,AISTATS 2018,21.0,,Spain,2018-04-09,2018-04-11,2018.0,,,International Conference on Artificial Intelligence and Statistics,http://www.wikidata.org/entity/Q47450029,
Joint 27th International Joint Conference on Artificial Intelligence and 23rd European Conference on Artificial Intelligence,,23.0,,Sweden,2018-07-13,2018-07-19,2018.0,70805.0,,European Conference on Artificial Intelligence,http://www.wikidata.org/entity/Q52779877,
Thirty-Third AAAI Conference on Artificial Intelligence,AAAI-19,33.0,,United States of America,2019-01-27,2019-02-01,2019.0,,,AAAI Conference on Artificial Intelligence,http://www.wikidata.org/entity/Q56677269,
22nd European Conference on Artificial Intelligence,,,,Kingdom of the Netherlands,2016-08-29,2016-09-02,2016.0,,,European Conference on Artificial Intelligence,http://www.wikidata.org/entity/Q52779674,
Asilomar Conference on Beneficial AI,,,,United States of America,2017-01-05,2017-01-08,2017.0,,,,http://www.wikidata.org/entity/Q48999309,
The 10th Global WordNet Conference,GWC 2019,,,Poland,2019-07-23,2019-07-27,2019.0,84008.0,,Global WordNet Conference,http://www.wikidata.org/entity/Q61983755,
International Conference on Surface Plasmon Photonics,,,,,,,,,,,http://www.wikidata.org/entity/Q63248377,
Biographical Data in a Digital World 2017,BD2017,,,Austria,2017-11-06,2017-11-07,2017.0,,,,http://www.wikidata.org/entity/Q42740247,
2017 Conference on Empirical Methods in Natural Language Processing,EMNLP 2017,22.0,,Denmark,2017-09-07,2017-09-11,2017.0,,,Empirical Methods in Natural Language Processing,http://www.wikidata.org/entity/Q28052808,https://dblp.org/db/conf/emnlp/emnlp2017.html
2017 Conference on Empirical Methods in Natural Language Processing,EMNLP 2017,14.0,,Denmark,2017-09-07,2017-09-11,2017.0,,,Empirical Methods in Natural Language Processing,http://www.wikidata.org/entity/Q28052808,https://dblp.org/db/conf/emnlp/emnlp2017.html
The Knowledge Graph Conference 2020,KGC 2020,,,United States of America,2020-05-04,2020-05-07,2020.0,,,Knowledge Graph Conference,http://www.wikidata.org/entity/Q76451254,
8th Language & Technology Conference,LTC 2017,8.0,Poznań,Poland,2017-11-17,2017-11-19,2017.0,,,Language and Technology Conference,http://www.wikidata.org/entity/Q43254255,
Image archives: Knowledge systems - labor practices - potential uses,,,,Germany,2020-05-15,2020-07-10,2020.0,,,,http://www.wikidata.org/entity/Q96051969,
Third International Conference on Chemical Structures,,3.0,Noordwijkerhout,Kingdom of the Netherlands,1993-06-06,1993-06-10,1993.0,,,International Conference on Chemical Structures,http://www.wikidata.org/entity/Q47501293,
The Knowledge Graph Conference 2019,KGC 2019,,,United States of America,,,,,,Knowledge Graph Conference,http://www.wikidata.org/entity/Q87486633,
Bank of England (London). Tercentenary Symposium,,,,,,,,,,,http://www.wikidata.org/entity/Q86584771,
2017 Conference on Empirical Methods in Natural Language Processing,EMNLP 2017,22.0,Copenhagen,United States of America,2017-09-07,2017-09-11,2017.0,,,Empirical Methods in Natural Language Processing,http://www.wikidata.org/entity/Q28052808,https://dblp.org/db/conf/emnlp/emnlp2017.html
2017 Conference on Empirical Methods in Natural Language Processing,EMNLP 2017,14.0,Copenhagen,United States of America,2017-09-07,2017-09-11,2017.0,,,Empirical Methods in Natural Language Processing,http://www.wikidata.org/entity/Q28052808,https://dblp.org/db/conf/emnlp/emnlp2017.html
OER20,,,,,2020-04-01,2020-04-02,2020.0,,,,http://www.wikidata.org/entity/Q89186153,
"Biota, ecology, and ecological history of cedar glades",,,,,,,,,,,http://www.wikidata.org/entity/Q90041451,
PIDapalooza 2018,,,,Spain,2018-01-23,2018-01-24,2018.0,,,PIDapalooza,http://www.wikidata.org/entity/Q47486859,
2019 IEEE International Conference on Big Data,IEEE BigData 2019,,,United States of America,2019-12-09,2019-12-12,2019.0,,,IEEE International Conference on Big Data,http://www.wikidata.org/entity/Q66619480,
Institute of Liturgical Studies,,,,United States of America,,,,,,,http://www.wikidata.org/entity/Q28543668,
International Congress on Medieval Studies,,,,United States of America,,,,,,,http://www.wikidata.org/entity/Q16973160,
Port Towns of Gujarat,,,,,2012-12-14,2012-12-16,2012.0,,,,http://www.wikidata.org/entity/Q99098582,
CHI 2019,,,,United Kingdom,2019-05-04,2019-05-09,2019.0,,conf/chi/2019,Conference on Human Factors in Computing Systems,http://www.wikidata.org/entity/Q63529249,
After Timur Came : Multiple Spaces of Cultural Production and Circulation in Fifteenth-Century North India,,,London,United Kingdom,2007-05-29,2007-05-31,2007.0,,,,http://www.wikidata.org/entity/Q98837528,
The 14th International Semantic Web Conference,ISWC 2015,14.0,,United States of America,2015-10-11,2015-10-15,2015.0,,conf/semweb/2015-2,International Semantic Web Conference,http://www.wikidata.org/entity/Q48025651,
The 11th International Semantic Web Conference,ISWC 2012,11.0,Boston,United States of America,2012-11-11,2012-11-15,2012.0,,conf/semweb/2012-2,International Semantic Web Conference,http://www.wikidata.org/entity/Q48026033,
The 17th International Semantic Web Conference,ISWC 2018,17.0,Monterey,United States of America,2018-10-08,2018-10-12,2018.0,,conf/semweb/2018-1,International Semantic Web Conference,http://www.wikidata.org/entity/Q47455387,
The 10th International Semantic Web Conference,ISWC 2011,10.0,Bonn,Germany,2011-10-23,2011-10-27,2011.0,,conf/semweb/2011-1,International Semantic Web Conference,http://www.wikidata.org/entity/Q48026129,
The 13th International Semantic Web Conference,ISWC 2014,13.0,,Italy,2014-10-19,2014-10-23,2014.0,,conf/semweb/2014-2,International Semantic Web Conference,http://www.wikidata.org/entity/Q48025840,
The 6th International Semantic Web Conference and the 2nd Asian Semantic Web Conference,ISWC 2007,6.0,Busan,South Korea,2007-11-11,2007-11-15,2007.0,,conf/semweb/2007,Asian Semantic Web Conference,http://www.wikidata.org/entity/Q48026807,
The 15th International Semantic Web Conference,ISWC 2016,15.0,,Japan,2016-10-17,2016-10-21,2016.0,,conf/semweb/2016-1,International Semantic Web Conference,http://www.wikidata.org/entity/Q48025514,
The 16th International Semantic Web Conference,ISWC 2017,16.0,Vienna,Austria,2017-10-21,2017-10-25,2017.0,,,International Semantic Web Conference,http://www.wikidata.org/entity/Q47912910,
The 11th International Semantic Web Conference,ISWC 2012,11.0,Boston,United States of America,2012-11-11,2012-11-15,2012.0,,conf/semweb/2012-1,International Semantic Web Conference,http://www.wikidata.org/entity/Q48026033,
The 12th International Semantic Web Conference,ISWC 2013,12.0,Sydney,Australia,2013-10-21,2013-10-25,2013.0,,conf/semweb/2013-1,International Semantic Web Conference,http://www.wikidata.org/entity/Q48025934,
The 8th International Semantic Web Conference,ISWC 2009,8.0,"Washington, D.C.",United States of America,2009-10-25,2009-10-29,2009.0,,conf/semweb/2009,International Semantic Web Conference,http://www.wikidata.org/entity/Q48026503,
The 15th International Semantic Web Conference,ISWC 2016,15.0,,Japan,2016-10-17,2016-10-21,2016.0,,conf/semweb/2016-2,International Semantic Web Conference,http://www.wikidata.org/entity/Q48025514,
The 16th International Semantic Web Conference,ISWC 2017,16.0,Vienna,Austria,2017-10-21,2017-10-25,2017.0,,conf/semweb/2017-2,International Semantic Web Conference,http://www.wikidata.org/entity/Q47912910,
The 12th International Semantic Web Conference,ISWC 2013,12.0,,Australia,2013-10-21,2013-10-25,2013.0,,conf/semweb/2013-2,International Semantic Web Conference,http://www.wikidata.org/entity/Q48025934,
The 15th International Semantic Web Conference,ISWC 2016,15.0,,Japan,2016-10-17,2016-10-21,2016.0,,conf/semweb/2016keki,International Semantic Web Conference,http://www.wikidata.org/entity/Q48025514,
The 14th International Semantic Web Conference,ISWC 2015,14.0,,United States of America,2015-10-11,2015-10-15,2015.0,,conf/semweb/2015-1,International Semantic Web Conference,http://www.wikidata.org/entity/Q48025651,
The 6th International Semantic Web Conference and the 2nd Asian Semantic Web Conference,ISWC 2007,6.0,Busan,South Korea,2007-11-11,2007-11-15,2007.0,,conf/semweb/2007,International Semantic Web Conference,http://www.wikidata.org/entity/Q48026807,
PIDapalooza 2020,,,,Portugal,2020-01-29,2020-01-30,2020.0,,,PIDapalooza,http://www.wikidata.org/entity/Q65929359,
The 6th International Semantic Web Conference and the 2nd Asian Semantic Web Conference,ISWC 2007,6.0,,South Korea,2007-11-11,2007-11-15,2007.0,,conf/semweb/2007,Asian Semantic Web Conference,http://www.wikidata.org/entity/Q48026807,
The 16th International Semantic Web Conference,ISWC 2017,16.0,,Austria,2017-10-21,2017-10-25,2017.0,,,International Semantic Web Conference,http://www.wikidata.org/entity/Q47912910,
The 6th International Semantic Web Conference and the 2nd Asian Semantic Web Conference,ISWC 2007,2.0,Busan,South Korea,2007-11-11,2007-11-15,2007.0,,conf/semweb/2007,Asian Semantic Web Conference,http://www.wikidata.org/entity/Q48026807,
The 14th International Semantic Web Conference,ISWC 2015,14.0,,United States of America,2015-10-11,2015-10-15,2015.0,,,International Semantic Web Conference,http://www.wikidata.org/entity/Q48025651,
The 15th International Semantic Web Conference,ISWC 2016,15.0,Kōbe,Japan,2016-10-17,2016-10-21,2016.0,,conf/semweb/2016-1,International Semantic Web Conference,http://www.wikidata.org/entity/Q48025514,
The 17th International Semantic Web Conference,ISWC 2018,17.0,,United States of America,2018-10-08,2018-10-12,2018.0,,,International Semantic Web Conference,http://www.wikidata.org/entity/Q47455387,
The 16th International Semantic Web Conference,ISWC 2017,16.0,Vienna,Austria,2017-10-21,2017-10-25,2017.0,,conf/semweb/2017-1,International Semantic Web Conference,http://www.wikidata.org/entity/Q47912910,
The 16th International Semantic Web Conference,ISWC 2017,16.0,,Austria,2017-10-21,2017-10-25,2017.0,,conf/semweb/2017-2,International Semantic Web Conference,http://www.wikidata.org/entity/Q47912910,
The 13th International Semantic Web Conference,ISWC 2014,13.0,,Italy,2014-10-19,2014-10-23,2014.0,,conf/semweb/2014-1,International Semantic Web Conference,http://www.wikidata.org/entity/Q48025840,
The 15th International Semantic Web Conference,ISWC 2016,15.0,Kōbe,Japan,2016-10-17,2016-10-21,2016.0,,conf/semweb/2016-2,International Semantic Web Conference,http://www.wikidata.org/entity/Q48025514,
The 15th International Semantic Web Conference,ISWC 2016,15.0,Kōbe,Japan,2016-10-17,2016-10-21,2016.0,,conf/semweb/2016keki,International Semantic Web Conference,http://www.wikidata.org/entity/Q48025514,
The 6th International Semantic Web Conference and the 2nd Asian Semantic Web Conference,ISWC 2007,6.0,,South Korea,2007-11-11,2007-11-15,2007.0,,conf/semweb/2007,International Semantic Web Conference,http://www.wikidata.org/entity/Q48026807,
The 6th International Semantic Web Conference and the 2nd Asian Semantic Web Conference,ISWC 2007,2.0,Busan,South Korea,2007-11-11,2007-11-15,2007.0,,conf/semweb/2007,International Semantic Web Conference,http://www.wikidata.org/entity/Q48026807,
The 6th International Semantic Web Conference and the 2nd Asian Semantic Web Conference,ISWC 2007,2.0,,South Korea,2007-11-11,2007-11-15,2007.0,,conf/semweb/2007,Asian Semantic Web Conference,http://www.wikidata.org/entity/Q48026807,
The 17th International Semantic Web Conference,ISWC 2018,17.0,,United States of America,2018-10-08,2018-10-12,2018.0,,conf/semweb/2018-1,International Semantic Web Conference,http://www.wikidata.org/entity/Q47455387,
The 16th International Semantic Web Conference,ISWC 2017,16.0,,Austria,2017-10-21,2017-10-25,2017.0,,conf/semweb/2017-1,International Semantic Web Conference,http://www.wikidata.org/entity/Q47912910,
"Women, Status and Power in Medieval Society",,,,United Kingdom,2017-06-30,2017-07-01,2017.0,,,Society for Medieval Archaeology Annual Conference,http://www.wikidata.org/entity/Q67080838,
The 7th International Semantic Web Conference,ISWC 2008,7.0,,Germany,2008-10-26,2008-10-30,2008.0,1974.0,conf/semweb/2008,International Semantic Web Conference,http://www.wikidata.org/entity/Q48026643,
The 9th International Semantic Web Conference,ISWC 2010,9.0,,People's Republic of China,2010-11-07,2010-11-11,2010.0,,conf/semweb/2010-1,International Semantic Web Conference,http://www.wikidata.org/entity/Q48026260,
The 12th International Semantic Web Conference,ISWC 2013,12.0,,Australia,2013-10-21,2013-10-25,2013.0,,conf/semweb/2013-1,International Semantic Web Conference,http://www.wikidata.org/entity/Q48025934,
The 12th International Semantic Web Conference,ISWC 2013,12.0,Sydney,Australia,2013-10-21,2013-10-25,2013.0,,conf/semweb/2013-2,International Semantic Web Conference,http://www.wikidata.org/entity/Q48025934,
The 17th International Semantic Web Conference,ISWC 2018,17.0,Monterey,United States of America,2018-10-08,2018-10-12,2018.0,,,International Semantic Web Conference,http://www.wikidata.org/entity/Q47455387,
The 6th International Semantic Web Conference and the 2nd Asian Semantic Web Conference,ISWC 2007,2.0,,South Korea,2007-11-11,2007-11-15,2007.0,,conf/semweb/2007,International Semantic Web Conference,http://www.wikidata.org/entity/Q48026807,
The 7th International Semantic Web Conference,ISWC 2008,7.0,Karlsruhe,Germany,2008-10-26,2008-10-30,2008.0,1974.0,conf/semweb/2008,International Semantic Web Conference,http://www.wikidata.org/entity/Q48026643,
"Artificial Intelligence and Soft Computing - ICAISC 2006, 8th International Conference, Zakopane, Poland, June 25-29, 2006",ICAISC 2006,8.0,,Poland,2006-06-25,2006-06-29,2006.0,,,International Conference on Artificial Intelligence and Soft Computing,http://www.wikidata.org/entity/Q106244162,https://dblp.org/db/conf/icaisc/icaisc2006.html
"Artificial Intelligence in Education - 17th International Conference, AIED 2015, Madrid, Spain, June 22-26, 2015",AIED 2015,17.0,Madrid,Spain,2015-06-22,2015-06-26,2015.0,,,International Conference on Artificial Intelligence in Education,http://www.wikidata.org/entity/Q106244165,https://dblp.org/db/conf/aied/aied2015.html
"Artificial Intelligence and Soft Computing - 18th International Conference, ICAISC 2019, Zakopane, Poland, June 16-20, 2019",ICAISC 2019,18.0,,Poland,2019-06-16,2019-06-20,2019.0,,,International Conference on Artificial Intelligence and Soft Computing,http://www.wikidata.org/entity/Q106244157,https://dblp.org/db/conf/icaisc/icaisc2019-1.html
