acronym,startDate,endDate,year,city,country,seriesTitle,url,label
AHS 2011,2011/6/6,2011/6/9,2011,San Diego,United States of America,Adaptive Hardware and Systems,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=12607,wikiCfp
AHS 2011,2011/6/6,2011/6/9,2011,San Diego,United States of America,NASA/ESA Conference on Adaptive Hardware and Systems,http://www.wikidata.org/entity/Q106338880,wikiData
AHS 2011,2011/6/6,2011/6/9,2011,San Diego,United States of America,"2011 NASA/ESA Conference on Adaptive Hardware and Systems, AHS 2011, San Diego, California, USA, June 6-9, 2011",https://dblp.org/db/conf/ahs/ahs2011.html,dblp
AHS 2011,2011/6/6,2011/6/9,2011,San Diego,United States of America,Adaptive Hardware and Systems,http://portal.confref.org/list/ahs2011,confRef
AHS 2012,2012/6/25,2012/6/28,2012,Nuremberg,United States of America,,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=20850,wikiCfp
AHS 2012,2012/6/25,2012/6/28,2012,Nuremberg,United States of America,Adaptive Hardware and Systems,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=18584,wikiCfp
AHS 2012,2012/6/25,2012/6/28,2012,,,"2012 NASA/ESA Conference on Adaptive Hardware and Systems, AHS 2012, Erlangen, Germany, June 25-28, 2012",https://dblp.org/db/conf/ahs/ahs2012.html,dblp
AHS 2012,2012/6/25,2012/6/28,2012,Erlangen,Germany,Adaptive Hardware and Systems,http://portal.confref.org/list/ahs2012,confRef
AHS 2012,2012/6/25,2012/6/28,2012,,Germany,NASA/ESA Conference on Adaptive Hardware and Systems,http://www.wikidata.org/entity/Q106338879,wikiData
AHS 2013,2013/6/24,2013/6/27,2013,Turin,Italy,Adaptive Hardware and Systems,http://portal.confref.org/list/ahs2013,confRef
AHS 2013,2013/6/24,2013/6/27,2013,Turin,Italy,Adaptive Hardware and Systems,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=26897,wikiCfp
AHS 2013,2013/6/24,2013/6/27,2013,Turin,Italy,NASA/ESA Conference on Adaptive Hardware and Systems,http://www.wikidata.org/entity/Q106338878,wikiData
AHS 2013,2013/6/24,2013/6/27,2013,,,"2013 NASA/ESA Conference on Adaptive Hardware and Systems, AHS 2013, Torino, Italy, June 24-27, 2013",https://dblp.org/db/conf/ahs/ahs2013.html,dblp
AHS 2014,2014/7/14,2014/7/17,2014,Leicester,UK,Adaptive Hardware and Systems,http://portal.confref.org/list/ahs2014,confRef
AHS 2014,2014/7/14,2014/7/17,2014,,United Kingdom,NASA/ESA Conference on Adaptive Hardware and Systems,http://www.wikidata.org/entity/Q106338876,wikiData
AHS 2014,2014/7/14,2014/7/17,2014,,,"2014 NASA/ESA Conference on Adaptive Hardware and Systems, AHS 2014, Leicester, United Kingdom, July 14-17, 2014",https://dblp.org/db/conf/ahs/ahs2014.html,dblp
AHS 2015,2015/6/15,2015/6/18,2015,Montreal,Canada,"2015 NASA/ESA Conference on Adaptive Hardware and Systems, AHS 2015, Montreal, QC, Canada, June 15-18, 2015",https://dblp.org/db/conf/ahs/ahs2015.html,dblp
AHS 2015,2015/6/15,2015/6/18,2015,Quezon City,Philippines,Adaptive Hardware and Systems,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=41675,wikiCfp
AHS 2015,2015/6/15,2015/6/18,2015,Montreal,Canada,NASA/ESA Conference on Adaptive Hardware and Systems,http://www.wikidata.org/entity/Q106338875,wikiData
AHS 2015,2015/6/15,2015/6/18,2015,Montreal,Canada,Adaptive Hardware and Systems,http://portal.confref.org/list/ahs2015,confRef
AHS 2017,2017/7/24,2017/7/27,2017,Pasadena,United States of America,Adaptive Hardware and Systems,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=57974,wikiCfp
AHS 2017,2017/7/24,2017/7/27,2017,,,"2017 NASA/ESA Conference on Adaptive Hardware and Systems, AHS 2017, Pasadena, CA, USA, July 24-27, 2017",https://dblp.org/db/conf/ahs/ahs2017.html,dblp
AHS 2017,2017/7/24,2017/7/27,2017,Pasadena,United States of America,Adaptive Hardware and Systems,http://portal.confref.org/list/ahs2017,confRef
AHS 2017,2017/7/24,2017/7/27,2017,,United States of America,NASA/ESA Conference on Adaptive Hardware and Systems,http://www.wikidata.org/entity/Q106338874,wikiData
AHS 2018,2018/8/6,2018/8/9,2018,,,"2018 NASA/ESA Conference on Adaptive Hardware and Systems, AHS 2018, Edinburgh, United Kingdom, August 6-9, 2018",https://dblp.org/db/conf/ahs/ahs2018.html,dblp
AHS 2018,2018/8/6,2018/8/9,2018,Edinburgh,United Kingdom,Adaptive Hardware and Systems,http://portal.confref.org/list/ahs2018,confRef
AHS 2018,2018/8/6,2018/8/9,2018,Edinburgh,United Kingdom,Adaptive Hardware and Systems,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=72356,wikiCfp
AHS 2018,2018/8/6,2018/8/9,2018,Edinburgh,United Kingdom,NASA/ESA Conference on Adaptive Hardware and Systems,http://www.wikidata.org/entity/Q106338873,wikiData
AHS 2019,2019/7/22,2019/7/24,2019,Colchester,United Kingdom,Adaptive Hardware and Systems,http://portal.confref.org/list/ahs2019,confRef
AHS 2019,2019/7/22,2019/7/24,2019,Colchester,United States of America,Adaptive Hardware and Systems,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=99577,wikiCfp
AHS 2019,2019/7/22,2019/7/24,2019,,,"NASA/ESA Conference on Adaptive Hardware and Systems, AHS 2019, Colchester, UK, July 22-24, 2019",https://dblp.org/db/conf/ahs/ahs2019.html,dblp
AHS 2019,2019/7/22,2019/7/24,2019,,United Kingdom,NASA/ESA Conference on Adaptive Hardware and Systems,http://www.wikidata.org/entity/Q106338872,wikiData
